Sr.,Name,Email,mobile,"Phone Number",Status,Designation,Address,City,State,Country,Pincode,GST,"Company Name",Website,"Business Jewellery","Business Machinery","Business Other","Product Jewellery","Product Machinery","Objective of Visiting Sparkle International 2016 ","How did you first know about Sparkle International 2016",Status,"Add Date"
1,"Vidhi Patel",v@gmail.com,+914542545,,Active,"PHP Developer",,Ahmedabad,Gujarat,India,452556,22AAAAA0000A1Z5,BSP,digitalsamaj.com,"Retailers, Manufacturers, ","Manufacturers, ",Manufacturers,"Silver Jewellery, ","Equipment / Tools, ","Market Information, ","Trade Fairs, ",Active,"18 Jun 2018"
2,"Monika Patel",m@gmail.com,+9165674,75455,Active,Tester,,Ahmedabad,Gujarat,India,15412,22AAAAA0000A1Z5,BSP,errornaya.com,"Retailers, Designers, ","Wholesalers, Exporters, ","Retailers, Manufacturers","Plain Gold, Platinum Jewellery, ","Equipment / Tools, ","Buying, Evaluate for future participation, ","Publications, ",Active,"18 Jun 2018"
3,"Gajana Patel",G@gmail.com," 4754587",,Active,SEO,,Ahmedabad,Gujarat,India,65689,,,,,,,,,,,Active,"18 Jun 2018"
4,"Hitesh Bhaliya",H@gmail.com,+916568,,Active,Android,,Ahmedabad,Gujarat,India,1554,,,,,,,,,,,Active,"18 Jun 2018"
5,"Smita Jamukiya",S@gmail.com,+9156455,,Active,Android,,Ahmedabad,Gujarat,India,5545,,,,,,,,,,,Active,"18 Jun 2018"
6,"Nirav Patel",n@gmail.com,"+91 532",,Active,"PHP Developer",,Ahmedabad,Gujarat,India,54215,,,,,,,,,,,Active,"18 Jun 2018"
7,"Ankit Patel",a@gmail.com,+91454556,,Active,"Php developer",,Ahmedabad,Gujarat,India,1254,,,,,,,,,,,Active,"18 Jun 2018"
8,"Hina Patel",amit2410@bsp.com,"+91 454787",,Active,SEO,,Ahmedabad,Gujarat,India,231231,,,,,,,,,,,Active,"18 Jun 2018"
9,"Vidhi Patel",v@gmail.com,+91455,,Active,"PHP Developer",,Ahmedabad,Gujarat,India,424333,,,,,,,,,,,Active,"18 Jun 2018"
10,"Hemal Patel",h2@gmail.com,"+91 878978",,Active,php,,Ahmedabad,Gujarat,India,543254,,,,,,,,,,,Active,"19 Jun 2018"
11,"d tre",amit2410@bsp.com,+91,,Active,"PHP Developer",,Ahmedabad,Gujarat,India,43353,,,,,,,,,,,Active,"19 Jun 2018"
